"No.,""Time"",""Source"",""Destination"",""Protocol"",""Length"",""Info"""
"1,""0.000000"",""52.87.241.159"",""192.168.1.106"",""TCP"",""66"",""443  >  60757 [ACK] Seq=1 Ack=1 Win=836 Len=0 TSval=4027797781 TSecr=14549081"""
"2,""0.235982"",""0.0.0.0"",""224.0.0.1"",""IGMPv2"",""46"",""Membership Query, general"""
"3,""0.291085"",""192.168.1.166"",""89.30.121.13"",""TCP"",""66"",""47747  >  1935 [ACK] Seq=1 Ack=1 Win=5816 Len=0 TSval=262243916 TSecr=2336731370"""
"4,""0.275272"",""89.30.121.13"",""192.168.1.166"",""TCP"",""66"",""[TCP ACKed unseen segment] 1935  >  47747 [ACK] Seq=1 Ack=2 Win=317 Len=0 TSval=2336733937 TSecr=262243707"""
"5,""0.087988"",""192.168.1.236"",""239.255.255.250"",""IGMPv2"",""46"",""Membership Report group 239.255.255.250"""
"6,""0.482148"",""192.168.1.241"",""195.154.199.173"",""ICMP"",""98"",""Echo (ping) request  id=0x1149, seq=1/256, ttl=64 (reply in 8)"""
"7,""0.151068"",""192.168.1.236"",""224.0.1.60"",""IGMPv2"",""46"",""Membership Report group 224.0.1.60"""
"8,""0.168453"",""195.154.199.173"",""192.168.1.241"",""ICMP"",""98"",""Echo (ping) reply    id=0x1149, seq=1/256, ttl=45 (request in 6)"""
"9,""0.185016"",""192.168.1.106"",""52.87.241.159"",""TLSv1"",""156"",""Application Data, Application Data"""
"10,""0.215180"",""52.87.241.159"",""192.168.1.106"",""TCP"",""66"",""443  >  60757 [ACK] Seq=1 Ack=91 Win=836 Len=0 TSval=4027798304 TSecr=14549290"""
"11,""0.280944"",""192.168.1.241"",""195.154.199.173"",""ICMP"",""98"",""Echo (ping) request  id=0x1149, seq=2/512, ttl=64 (reply in 13)"""
"12,""0.035326"",""fe80::72ee:50ff:fe18:3443"",""ff02::1:ff18:3443"",""ICMPv6"",""86"",""Multicast Listener Report"""
"13,""0.284129"",""195.154.199.173"",""192.168.1.241"",""ICMP"",""98"",""Echo (ping) reply    id=0x1149, seq=2/512, ttl=45 (request in 11)"""
"14,""0.129744"",""192.168.1.196"",""54.210.202.2"",""TCP"",""60"",""2173  >  443 [ACK] Seq=1 Ack=1 Win=3072 Len=1 [TCP PDU reassembled in 231]"""
"15,""0.079551"",""192.168.1.106"",""52.87.241.159"",""TLSv1"",""156"",""Application Data, Application Data"""
"16,""0.136479"",""54.210.202.2"",""192.168.1.196"",""TCP"",""54"",""443  >  2173 [ACK] Seq=1 Ack=2 Win=19832 Len=0"""
